column,dtype,n_records,n_non_null,n_missing,missing_pct,n_unique,uniqueness_pct,min,max,mean,median,std,variance,Q1,Q3,IQR,p1,p5,p25,p50,p75,p95,p99
Dist Code,int64,50765,50765,0,0.0,311,0.613,1.0,917.0,250.21875307790802,144.0,269.062837292422,72394.81041184836,72.0,230.0,158.0,4.0,16.0,72.0,144.0,230.0,901.0,914.0
Year,int64,50765,50765,0,0.0,52,0.102,1966.0,2017.0,1991.5627696247413,1992.0,14.936844190399393,223.1093143682681,1979.0,2004.0,25.0,1966.0,1968.0,1979.0,1992.0,2004.0,2015.0,2017.0
State Code,int64,50765,50765,0,0.0,20,0.039,1.0,20.0,9.169821727568207,9.0,4.852092875570172,23.54280527315882,6.0,12.0,6.0,1.0,2.0,6.0,9.0,12.0,18.0,20.0
State Name,object,50765,50765,0,0.0,20,0.039,,,,,,,,,,,,,,,,
Dist Name,object,50765,50765,0,0.0,311,0.613,,,,,,,,,,,,,,,,
Crop,object,50765,50765,0,0.0,4,0.008,,,,,,,,,,,,,,,,
Area_ha,float64,50765,50765,0,0.0,12668,24.954,10.0,1154230.0,63765.22682950852,16900.0,112790.17884033933,12721624442.83573,2340.0,68900.0,66560.0,20.0,110.0,2340.0,16900.0,68900.0,306147.99999999977,521035.20000000007
Yield_kg_per_ha,float64,50765,50765,0,0.0,32127,63.286,0.28,58363.64,1159.8147113168523,922.08,1005.0660073037437,1010157.6790374891,500.0,1533.6,1033.6,62.5,138.32200000000003,500.0,922.08,1533.6,3000.0,4381.964000000003
N_req_kg_per_ha,float64,50765,50765,0,0.0,34925,68.797,0.00756,1050.54552,28.567342107554417,20.29131,26.289890610086637,691.1583482903214,10.447019999999998,39.57471,29.127690000000005,1.6731791999999999,3.5715000000000003,10.447019999999998,20.29131,39.57471,77.75149399999998,114.61261000000002
P_req_kg_per_ha,float64,50765,50765,0,0.0,33883,66.745,0.00336,583.6364,13.5173129971437,10.0307,12.036833651595813,144.8853643561894,5.3612,18.18864,12.82744,0.75,1.629,5.3612,10.0307,18.18864,36.0,52.51010880000002
K_req_kg_per_ha,float64,50765,50765,0,0.0,35222,69.382,0.00756,1050.54552,22.6768141772875,17.0,19.43224367304903,377.612094168754,9.72092,29.66282,19.9419,1.6354404,3.4999379999999998,9.72092,17.0,29.66282,60.088967999999994,86.92809360000007
Total_N_kg,float64,50765,50765,0,0.0,39159,77.138,9.18,80375238.06000002,2263185.5926056225,288000.0,5322256.797285588,28326417416252.652,35928.6984,1692500.3999999997,1656571.7015999996,270.0,1620.03402,35928.6984,288000.0,1692500.3999999997,11702017.76999999,27221815.073300023
Total_P_kg,float64,50765,50765,0,0.0,38621,76.078,4.08,38580114.268800005,1080920.2030698317,140000.1,2546764.0217543407,6486006982502.344,17040.935999999998,808144.0836,791103.1476,120.0,839.9999999999999,17040.935999999998,140000.1,808144.0836,5578723.85951999,13040256.604032004
Total_K_kg,float64,50765,50765,0,0.0,39685,78.174,9.18,70730209.49280001,1933930.9943213575,241998.68,4640902.426882222,21537975335841.305,30239.6976,1378627.8246000002,1348388.127,269.99729999999994,1619.9791199999995,30239.6976,241998.68,1378627.8246000002,10030313.705279998,23872746.446560007
Temperature_C,int64,50765,50765,0,0.0,4,0.008,20.0,28.0,23.261971830985914,22.0,2.7727719086853004,7.688264057594323,20.0,25.0,5.0,20.0,20.0,20.0,22.0,25.0,28.0,28.0
Humidity_%,int64,50765,50765,0,0.0,4,0.008,60.0,80.0,69.4541514823205,70.0,7.767089786007067,60.32768374389531,60.0,80.0,20.0,60.0,60.0,60.0,70.0,80.0,80.0,80.0
pH,float64,50765,50765,0,0.0,2,0.004,6.0,6.5,6.28390623461046,6.5,0.24769250250135044,0.06135157579538149,6.0,6.5,0.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5
Rainfall_mm,int64,50765,50765,0,0.0,4,0.008,600.0,1200.0,848.0921895006402,800.0,239.46512313988572,57343.54520040064,600.0,1200.0,600.0,600.0,600.0,600.0,800.0,1200.0,1200.0,1200.0
Wind_Speed_m_s,float64,50765,50765,0,0.0,4,0.008,1.5,3.0,2.156574411503989,2.0,0.5167438780334026,0.26702423548500004,1.5,2.5,1.0,1.5,1.5,1.5,2.0,2.5,3.0,3.0
Solar_Radiation_MJ_m2_day,int64,50765,50765,0,0.0,4,0.008,16.0,22.0,18.626297646015956,18.0,2.0669755121336104,4.272387767760001,16.0,20.0,4.0,16.0,16.0,16.0,18.0,20.0,22.0,22.0
